word_id,jp,ko,source,source_url,license,permission_status,attribution,captured_at,qa_status,sort_order,naver_example_id,naver_source_cid,naver_source_name,query,qa_note
w_069b6847fe6b8089,彼はなかなか承知しない,그는 여간해서 승낙하지 않는다[말을 잘 듣지 않는다],naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%89%BF%E7%9F%A5,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200124300,auto,0,ccb8a9ac5cff466cabab9d1a49648973,081341B9,민중서림 엣센스 일한사전,承知,auto-selected score=129 meaning_hits=1 target_match=surface; query=承知
w_06bb7a4aad5e15e2,戦後，チトー政権はチェトニックを取り締まり，５７年には森の教会も破壊された,(제2차 대전) 전후 티토 정권은 체트니크를 단속하였으며 57년에는 숲의 교회까지도 파괴되었다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%88%A6%E5%BE%8C,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,1787200124728,auto,0,83123702e7264f0798bac57de7129b0d,8800047F,민중서림 엣센스 외래어사전,戦後,auto-selected score=134 meaning_hits=1 target_match=surface; query=戦後
w_06fbc4f4058c0110,靴の泥を拭い去る,신발의 진흙을 씻어 내다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%B3%A5,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200077216,auto,0,3e70772a504d414e826005022c33d63b,081341B9,민중서림 엣센스 일한사전,泥,auto-selected score=129 meaning_hits=1 target_match=surface; query=泥
w_08923ac6c2b95253,おぼれた子を救助した,물에 빠진 아이를 구조했다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%95%91%E5%8A%A9,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200112753,auto,0,b1b5a8b4b95f4ae5a19284cf2a32ba1e,081341B9,민중서림 엣센스 일한사전,救助,auto-selected score=129 meaning_hits=1 target_match=surface; query=救助
w_113afe5c67c7d699,今年１年の埃を払い、新年を清清しく迎える,올 한 해의 먼지를 떨어내고 산뜻한 새해를 맞이하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%9F%83,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200077811,auto,0,8c98883b368549919b2e0ace8d68a689,081341B9,민중서림 엣센스 일한사전,埃,auto-selected score=134 meaning_hits=1 target_match=surface; query=埃
w_144336dcd0d84690,くだくだしい事は省略する,장황하고 번거로운 것은 생략한다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%9C%81%E7%95%A5,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200124433,auto,0,b1b715de86ae419bb388ea90dd7ad663,081341B9,민중서림 엣센스 일한사전,省略,auto-selected score=129 meaning_hits=1 target_match=surface; query=省略
w_15a9c02e279288fa,まず第一は何をやるか,우선 첫째 무엇을 할까[하겠는가],naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%AC%AC%E4%B8%80,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200089935,auto,0,450a8b9ca09742bbb64c6b3d2ed67dcd,081341B9,민중서림 엣센스 일한사전,第一,auto-selected score=121 meaning_hits=1 target_match=surface; query=第一
w_189963d9b879daaa,日本で万博が行われた,일본에서 만국 박람회가 열렸다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%97%A5%E6%9C%AC,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787200089572,auto,0,36d67582727e43c9a653ad5dc7fef3df,081341B9,민중서림 엣센스 일한사전,日本,auto-selected score=129 meaning_hits=1 target_match=surface; query=日本
w_1934fc0b098bed0b,丘の斜面に畑を作る.,언덕 사면에 밭을 만들다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%95%91,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787200078479,auto,0,da9c29fbab5a4a4f94dc469cc875c8b4,881982a8,민중서림 엣센스 한일사전,畑,auto-selected score=122 meaning_hits=0 target_match=surface; query=畑
w_234b99b141cfd9a7,一家が食いつめる.,집안의 생계 길이 막히다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E5%AE%B6,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787200101160,auto,0,5330f7f321554fa79e8202f218cb5cc5,881982a8,민중서림 엣센스 한일사전,一家,auto-selected score=122 meaning_hits=0 target_match=surface; query=一家
